Current (nA) - Channel AO020	Voltage (mV) - Channel AO1	Gain: 1.000000
Current (nA) - Channel AO0	Voltage (mV) - Channel AO1	
-4.960695	-100.175194
-3.937350	-80.261529
-2.916365	-60.233649
-1.913702	-40.249675
-0.928780	-20.255971
0.032389	-0.269938
0.978100	19.733176
1.891284	39.651473
2.792298	59.677424
3.667708	79.397317
4.553207	99.677703
